,phi^2_exp_l [-]
Test bi smooth 13 @ Q_l_20 Q_g_3000,177.6344462484769
Test bi smooth 78 @ Q_l_100 Q_g_3500,42.58742373181107
Test bi smooth 98 @ Q_l_30 Q_g_2000,95.29801497920461
Test bi smooth 40 @ Q_l_60 Q_g_500,12.49466293192483
Test bi smooth 44 @ Q_l_60 Q_g_2500,53.86739220038837
Test bi smooth 20 @ Q_l_30 Q_g_2500,99.63516445429224
Test bi smooth 47 @ Q_l_60 Q_g_4000,87.77963573035488
Test bi smooth 87 @ Q_l_20 Q_g_500,26.83883113192023
Test bi smooth 95 @ Q_l_30 Q_g_500,19.18273075734963
Test bi smooth 97 @ Q_l_30 Q_g_1500,69.89243605208169
Test bi smooth 69 @ Q_l_90 Q_g_3000,45.39278712308308
Test bi smooth 64 @ Q_l_90 Q_g_500,11.51897882625175
Test bi smooth 8 @ Q_l_20 Q_g_500,26.24781286600198
Test bi smooth 28 @ Q_l_40 Q_g_2500,82.49828680352772
Test bi smooth 48 @ Q_l_70 Q_g_500,11.9980068098585
Test bi smooth 88 @ Q_l_20 Q_g_1000,48.27771419709763
Test bi smooth 75 @ Q_l_100 Q_g_2000,25.77097667959225
Test bi smooth 29 @ Q_l_40 Q_g_3000,102.4878138910908
Test bi smooth 73 @ Q_l_100 Q_g_1000,14.39869288136464
Test bi smooth 105 @ Q_l_40 Q_g_1500,48.72769413333538
Test bi smooth 71 @ Q_l_90 Q_g_4000,57.09461735744814
Test bi smooth 7 @ Q_l_10 Q_g_4000,298.1925137943664
Test bi smooth 92 @ Q_l_20 Q_g_3000,198.8587379363012
Test bi smooth 65 @ Q_l_90 Q_g_1000,15.09875143518906
Test bi smooth 42 @ Q_l_60 Q_g_1500,30.35321691656722
Test bi smooth 63 @ Q_l_80 Q_g_4000,61.31077962780341
Test bi smooth 84 @ Q_l_10 Q_g_3000,261.6032004425194
Test bi smooth 15 @ Q_l_20 Q_g_4000,238.3734744346912
Test bi smooth 25 @ Q_l_40 Q_g_1000,27.03272143147959
Test bi smooth 39 @ Q_l_50 Q_g_4000,103.9262143394543
Test bi smooth 34 @ Q_l_50 Q_g_1500,32.40044080555074
Test bi smooth 74 @ Q_l_100 Q_g_1500,19.75346001337707
Test bi smooth 22 @ Q_l_30 Q_g_3500,154.1893216267076
Test bi smooth 72 @ Q_l_100 Q_g_500,9.922066218199314
Test bi smooth 60 @ Q_l_80 Q_g_2500,39.4902389474704
Test bi smooth 111 @ Q_l_50 Q_g_500,18.8962637542915
Test bi smooth 31 @ Q_l_40 Q_g_4000,139.9946370752841
Test bi smooth 67 @ Q_l_90 Q_g_2000,28.32686918718268
Test bi smooth 109 @ Q_l_40 Q_g_3500,133.0602201900624
Test bi smooth 58 @ Q_l_80 Q_g_1500,24.24408545802964
Test bi smooth 93 @ Q_l_20 Q_g_3500,247.581702062711
Test bi smooth 17 @ Q_l_30 Q_g_1000,32.14023191386368
Test bi smooth 108 @ Q_l_40 Q_g_3000,118.0595895792145
Test bi smooth 12 @ Q_l_20 Q_g_2500,143.9163847757276
Test bi smooth 90 @ Q_l_20 Q_g_2000,122.3268090804081
Test bi smooth 66 @ Q_l_90 Q_g_1500,24.66428752782769
Test bi smooth 46 @ Q_l_60 Q_g_3500,79.99991242958833
Test bi smooth 6 @ Q_l_10 Q_g_3500,244.0487540544803
Test bi smooth 116 @ Q_l_50 Q_g_3000,99.64592052298639
Test bi smooth 18 @ Q_l_30 Q_g_1500,53.70576716975464
Test bi smooth 70 @ Q_l_90 Q_g_3500,51.93464667936646
Test bi smooth 68 @ Q_l_90 Q_g_2500,38.28938669796681
Test bi smooth 30 @ Q_l_40 Q_g_3500,118.6426907885459
Test bi smooth 32 @ Q_l_50 Q_g_500,13.17782433270536
Test bi smooth 83 @ Q_l_10 Q_g_2500,212.2859565175779
Test bi smooth 91 @ Q_l_20 Q_g_2500,168.27718410271
Test bi smooth 35 @ Q_l_50 Q_g_2000,47.88559206831698
Test bi smooth 16 @ Q_l_30 Q_g_500,18.21781494586939
Test bi smooth 11 @ Q_l_20 Q_g_2000,96.15092579582458
Test bi smooth 100 @ Q_l_30 Q_g_3000,160.8610080623081
Test bi smooth 85 @ Q_l_10 Q_g_3500,322.2737009697519
Test bi smooth 36 @ Q_l_50 Q_g_2500,66.85519596015926
Test bi smooth 4 @ Q_l_10 Q_g_2500,158.9766362334529
Test bi smooth 118 @ Q_l_50 Q_g_4000,122.1341756694488
Test bi smooth 19 @ Q_l_30 Q_g_2000,77.04078644926626
Test bi smooth 102 @ Q_l_30 Q_g_4000,219.5561263649375
Test bi smooth 14 @ Q_l_20 Q_g_3500,208.5095652019066
Test bi smooth 117 @ Q_l_50 Q_g_3500,105.2158851155118
Test bi smooth 79 @ Q_l_10 Q_g_500,29.91419994476682
Test bi smooth 21 @ Q_l_30 Q_g_3000,129.6848422193854
Test bi smooth 101 @ Q_l_30 Q_g_3500,197.4267183640531
Test bi smooth 104 @ Q_l_40 Q_g_1000,31.53594551169735
Test bi smooth 41 @ Q_l_60 Q_g_1000,20.74950670398441
Test bi smooth 107 @ Q_l_40 Q_g_2500,98.93420466785147
Test bi smooth 23 @ Q_l_30 Q_g_4000,177.5809215278242
Test bi smooth 89 @ Q_l_20 Q_g_1500,78.07282854844424
Test bi smooth 26 @ Q_l_40 Q_g_1500,40.604000406992
Test bi smooth 0 @ Q_l_10 Q_g_500,38.01761762451462
Test bi smooth 53 @ Q_l_70 Q_g_3000,57.83142605383711
Test bi smooth 52 @ Q_l_70 Q_g_2500,50.22982732655704
Test bi smooth 106 @ Q_l_40 Q_g_2000,67.76011235478373
Test bi smooth 57 @ Q_l_80 Q_g_1000,16.75748823799814
Test bi smooth 37 @ Q_l_50 Q_g_3000,79.73913538582214
Test bi smooth 96 @ Q_l_30 Q_g_1000,42.83019091913483
Test bi smooth 50 @ Q_l_70 Q_g_1500,28.04221856741774
Test bi smooth 94 @ Q_l_20 Q_g_4000,262.8276512145588
Test bi smooth 77 @ Q_l_100 Q_g_3000,40.57887895808652
Test bi smooth 103 @ Q_l_40 Q_g_500,20.32569040373648
Test bi smooth 33 @ Q_l_50 Q_g_1000,22.65722795989136
Test bi smooth 38 @ Q_l_50 Q_g_3500,91.67216847268575
Test bi smooth 43 @ Q_l_60 Q_g_2000,43.45780244482361
Test bi smooth 9 @ Q_l_20 Q_g_1000,41.74943450961859
Test bi smooth 61 @ Q_l_80 Q_g_3000,46.62854488794516
Test bi smooth 81 @ Q_l_10 Q_g_1500,112.6515846238173
Test bi smooth 113 @ Q_l_50 Q_g_1500,46.39328016385484
